Address, City, State, ZIP, Backroom Stock, Floor Stock, In Transit Stock, Price, Aisles
5401 Park Springs Blvd, Arlington, TX, 76017, 0, 0, 0, 119.0, N/A
1855 S Garland Ave, Garland, TX, 75040, 0, 0, 0, N/A, N/A
5302 N Garland Ave, Garland, TX, 75040, 0, 0, 0, 63.0, K1-4
3513 E Park Blvd, Plano, TX, 75074, 0, 0, 0, N/A, N/A
2610 W Pioneer Pkwy, Pantego, TX, 76013, 0, 0, 0, N/A, N/A
4025 Old Denton Rd, Carrollton, TX, 75007, 0, 0, 0, N/A, N/A
190 E Round Grove Rd, Lewisville, TX, 75067, 0, 1, 0, 47.5, I1-3
951 Sw Wilshire Blvd, Burleson, TX, 76028, 0, 0, 0, 80.0, K1-3
2501 Lakeview Pkwy, Rowlett, TX, 75088, 0, 1, 0, 60.0, K1-3
1515 S Loop 288, Denton, TX, 76205, 0, 0, 0, 80.0, K1-3
555 W Interstate 30, Garland, TX, 75043, 0, 0, 0, 80.0, K22-4
400 N Highway 67, Midlothian, TX, 76065, 0, 0, 0, 80.0, K1-3
1228 N Highway 377, Roanoke, TX, 76262, 0, 0, 0, 54.0, K1-3
2401 Avondale Haslet Rd, Fort Worth, TX, 76052, 0, 2, 0, 32.5, K1-4
1616 W Henderson St, Cleburne, TX, 76033, 0, 0, 0, 62.0, K1-4
6604 Boulevard 26, Richland Hills, TX, 76180, 0, 0, 0, N/A, N/A
9410 Webb Chapel Rd, Dallas, TX, 75220, 0, 0, 0, 80.0, J1-2
